Team,W,L,W/L%,GB,PW,PL,PS/G,PA/G
Philadelphia 76ers,19,21,.475,—,17,23,97.9,99.7
Boston Celtics,18,22,.450,1.0,21,19,100.5,100.0
Toronto Raptors,18,24,.429,2.0,20,22,98.6,99.2
New York Knicks,17,23,.425,2.0,17,23,95.5,97.8
New Jersey Nets,15,25,.375,4.0,12,28,87.5,93.1
Cleveland Cavaliers,24,16,.600,—,24,16,97.2,94.1
Detroit Pistons,23,18,.561,1.5,22,19,90.6,89.7
Indiana Pacers,20,19,.513,3.5,18,21,93.3,94.4
Chicago Bulls,20,19,.513,3.5,20,19,91.4,91.0
Milwaukee Bucks,15,24,.385,8.5,15,24,95.4,98.4
Miami Heat,30,13,.698,—,29,14,101.4,96.4
Washington Wizards,25,15,.625,3.5,21,19,102.1,101.3
Orlando Magic,22,18,.550,6.5,20,20,100.5,100.6
Charlotte Bobcats,8,29,.216,19.0,11,26,93.4,99.7
Atlanta Hawks,8,31,.205,20.0,8,31,90.6,99.8
Seattle SuperSonics,28,11,.718,—,26,13,101.2,96.4
Minnesota Timberwolves,22,19,.537,7.0,24,17,98.0,95.8
Denver Nuggets,17,23,.425,11.5,16,24,95.2,97.9
Portland Trail Blazers,16,24,.400,12.5,16,24,93.4,96.2
Utah Jazz,14,28,.333,15.5,15,27,94.5,98.6
Phoenix Suns,32,10,.762,—,32,10,108.1,99.8
Sacramento Kings,27,12,.692,3.5,24,15,101.8,98.3
Los Angeles Lakers,22,16,.579,8.0,20,18,98.3,97.8
Los Angeles Clippers,19,22,.463,12.5,20,21,94.5,95.0
Golden State Warriors,12,29,.293,19.5,13,28,93.7,99.2
San Antonio Spurs,34,10,.773,—,37,7,97.1,86.3
Dallas Mavericks,27,13,.675,5.0,28,12,102.4,96.5
Houston Rockets,23,19,.548,10.0,22,20,91.6,90.8
Memphis Grizzlies,23,19,.548,10.0,26,16,93.8,90.7
New Orleans Hornets,7,33,.175,25.0,9,31,87.1,95.2
