SEASON_ID,HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_ID,GAME_DATE,HWIN,HPLUSMINUS,HFGM,HFGA,HFG_PCT,HFG3M,HFG3A,HFG3_PCT,HFTM,HFTA,HFT_PCT,HOREB,HDREB,HREB,HAST,HSTL,HBLK,HTOV,HPF,AFGM,AFGA,AFG_PCT,AFG3M,AFG3A,AFG3_PCT,AFTM,AFTA,AFT_PCT,AOREB,ADREB,AREB,AAST,ASTL,ABLK,ATOV,APF
42003,New Jersey Nets,Detroit Pistons,0040300214,2004-05-11,W,15.0,35,80,0.438,4,15,0.267,20,28,0.714,20,29,49,24,7,6,15,33,24,65,0.369,2,11,0.182,29,37,0.784,9,24,33,16,9,5,15,26
42003,Indiana Pacers,Miami Heat,0040300202,2004-05-08,W,11.0,31,65,0.477,7,18,0.389,22,36,0.611,7,31,38,21,7,7,16,22,30,74,0.405,1,6,0.167,19,27,0.704,13,31,44,18,8,6,16,30
42003,San Antonio Spurs,Los Angeles Lakers,0040300232,2004-05-05,W,9.0,36,69,0.522,5,16,0.313,18,30,0.6,6,27,33,17,9,2,8,25,38,74,0.514,2,12,0.167,7,18,0.389,12,30,42,18,3,2,15,21
42003,San Antonio Spurs,Los Angeles Lakers,0040300231,2004-05-02,W,10.0,37,79,0.468,5,17,0.294,9,21,0.429,9,31,40,16,11,3,15,26,26,69,0.377,4,10,0.4,22,33,0.667,12,33,45,16,5,6,21,20
42003,San Antonio Spurs,Los Angeles Lakers,0040300235,2004-05-13,L,-1.0,29,76,0.382,6,23,0.261,9,17,0.529,13,34,47,16,8,4,16,16,31,72,0.431,6,15,0.4,6,13,0.462,4,35,39,18,8,5,14,18
42003,New Orleans Hornets,Miami Heat,0040300133,2004-04-24,W,6.0,27,76,0.355,5,17,0.294,18,22,0.818,10,32,42,19,8,6,9,18,25,76,0.329,3,15,0.2,18,23,0.783,13,35,48,12,6,6,17,23
42003,Detroit Pistons,Milwaukee Bucks,0040300122,2004-04-21,L,-4.0,33,82,0.402,6,25,0.24,16,21,0.762,13,24,37,25,10,7,13,26,32,73,0.438,6,12,0.5,22,31,0.71,16,32,48,19,7,5,18,23
42003,Miami Heat,Indiana Pacers,0040300204,2004-05-12,W,12.0,36,70,0.514,6,11,0.545,22,29,0.759,9,29,38,20,4,4,9,23,33,73,0.452,3,16,0.188,19,26,0.731,12,25,37,15,7,3,10,28
42003,Indiana Pacers,Detroit Pistons,0040300301,2004-05-22,W,4.0,28,83,0.337,4,15,0.267,18,23,0.783,16,25,41,14,12,7,10,19,30,73,0.411,2,12,0.167,12,15,0.8,13,34,47,21,5,9,17,21
42003,Minnesota Timberwolves,Denver Nuggets,0040300145,2004-04-30,W,11.0,34,67,0.507,7,11,0.636,27,36,0.75,7,32,39,21,10,5,21,19,40,88,0.455,5,16,0.313,6,10,0.6,13,26,39,18,9,3,19,28
42003,Denver Nuggets,Minnesota Timberwolves,0040300143,2004-04-24,W,21.0,45,95,0.474,5,11,0.455,12,16,0.75,20,33,53,29,7,3,11,22,32,77,0.416,8,20,0.4,14,21,0.667,7,29,36,21,5,8,14,24
42003,Miami Heat,New Orleans Hornets,0040300131,2004-04-18,W,2.0,30,73,0.411,6,17,0.353,15,25,0.6,14,27,41,15,9,2,16,27,29,72,0.403,7,19,0.368,14,20,0.7,11,28,39,18,6,3,20,24
42003,Los Angeles Lakers,Detroit Pistons,0040300401,2004-06-06,L,-12.0,29,73,0.397,3,13,0.231,14,18,0.778,13,24,37,15,8,4,15,25,30,65,0.462,6,12,0.5,21,30,0.7,9,27,36,19,9,4,14,17
42003,Los Angeles Lakers,Minnesota Timberwolves,0040300314,2004-05-27,W,7.0,34,82,0.415,3,17,0.176,21,31,0.677,18,34,52,25,4,5,9,21,32,84,0.381,5,17,0.294,16,21,0.762,12,29,41,19,4,2,10,30
42003,Memphis Grizzlies,San Antonio Spurs,0040300164,2004-04-25,L,-13.0,36,75,0.48,5,16,0.313,20,23,0.87,12,22,34,19,9,3,15,30,37,63,0.587,11,17,0.647,25,34,0.735,6,25,31,25,9,4,15,21
42003,Los Angeles Lakers,Houston Rockets,0040300155,2004-04-28,W,19.0,39,78,0.5,2,14,0.143,17,27,0.63,7,31,38,31,17,4,12,22,28,68,0.412,5,16,0.313,17,22,0.773,9,29,38,13,7,5,22,25
42003,Indiana Pacers,Boston Celtics,0040300101,2004-04-17,W,16.0,39,84,0.464,5,12,0.417,21,27,0.778,16,30,46,23,9,10,18,25,29,72,0.403,8,14,0.571,22,29,0.759,12,26,38,15,8,3,18,22
42003,Miami Heat,Indiana Pacers,0040300203,2004-05-10,W,7.0,31,66,0.47,5,12,0.417,27,36,0.75,10,33,43,16,6,3,15,28,28,72,0.389,9,20,0.45,22,34,0.647,10,25,35,17,7,5,12,29
42003,San Antonio Spurs,Memphis Grizzlies,0040300162,2004-04-19,W,17.0,34,77,0.442,6,17,0.353,13,24,0.542,12,41,53,17,8,8,17,22,26,71,0.366,1,8,0.125,17,24,0.708,4,31,35,13,8,8,14,23
42003,Dallas Mavericks,Sacramento Kings,0040300174,2004-04-26,L,-2.0,34,98,0.347,4,21,0.19,20,33,0.606,23,32,55,19,7,4,8,26,36,91,0.396,3,14,0.214,19,27,0.704,24,44,68,20,6,6,17,30
42003,New Jersey Nets,New York Knicks,0040300111,2004-04-17,W,24.0,36,72,0.5,5,17,0.294,30,38,0.789,9,29,38,25,10,5,16,24,29,77,0.377,2,9,0.222,23,28,0.821,13,23,36,18,9,6,16,32
42003,Indiana Pacers,Boston Celtics,0040300102,2004-04-20,W,14.0,41,92,0.446,9,23,0.391,12,19,0.632,15,34,49,23,9,5,11,27,27,67,0.403,5,18,0.278,31,38,0.816,5,33,38,17,7,5,15,21
42003,New York Knicks,New Jersey Nets,0040300113,2004-04-22,L,-3.0,31,76,0.408,5,12,0.417,11,22,0.5,9,30,39,18,6,2,15,23,29,72,0.403,4,19,0.211,19,26,0.731,11,38,49,20,10,4,20,25
42003,Detroit Pistons,New Jersey Nets,0040300217,2004-05-20,W,21.0,34,85,0.4,8,21,0.381,14,18,0.778,8,34,42,23,5,4,8,20,24,67,0.358,3,16,0.188,18,25,0.72,6,35,41,17,6,4,16,20
42003,Houston Rockets,Los Angeles Lakers,0040300154,2004-04-25,L,-4.0,34,80,0.425,4,22,0.182,16,19,0.842,8,40,48,19,6,3,16,28,35,82,0.427,3,9,0.333,19,34,0.559,11,32,43,20,9,2,11,21
42003,Detroit Pistons,Milwaukee Bucks,0040300121,2004-04-18,W,26.0,39,91,0.429,6,18,0.333,24,31,0.774,19,33,52,23,14,8,11,19,32,75,0.427,4,16,0.25,14,17,0.824,7,31,38,20,7,5,24,27
42003,New Orleans Hornets,Miami Heat,0040300136,2004-05-02,W,6.0,37,83,0.446,4,15,0.267,11,15,0.733,12,32,44,23,7,6,14,23,29,75,0.387,4,16,0.25,21,28,0.75,15,31,46,14,7,4,19,20
42003,Detroit Pistons,Los Angeles Lakers,0040300403,2004-06-10,W,20.0,31,76,0.408,5,15,0.333,21,30,0.7,15,36,51,17,11,4,11,16,27,74,0.365,6,27,0.222,8,13,0.615,7,32,39,19,7,4,16,28
42003,Boston Celtics,Indiana Pacers,0040300103,2004-04-23,L,-23.0,32,76,0.421,3,14,0.214,18,23,0.783,10,32,42,20,6,7,16,19,42,89,0.472,8,22,0.364,16,23,0.696,14,32,46,27,14,4,9,21
42003,Los Angeles Lakers,Houston Rockets,0040300152,2004-04-19,W,14.0,34,75,0.453,7,15,0.467,23,27,0.852,7,31,38,27,4,6,8,24,31,71,0.437,3,10,0.3,19,30,0.633,9,27,36,20,4,3,10,21
42003,Minnesota Timberwolves,Los Angeles Lakers,0040300315,2004-05-29,W,2.0,35,80,0.438,2,12,0.167,26,32,0.813,8,34,42,14,7,3,5,22,38,76,0.5,7,22,0.318,13,24,0.542,7,33,40,24,3,5,12,27
42003,Los Angeles Lakers,Minnesota Timberwolves,0040300313,2004-05-25,W,11.0,34,66,0.515,7,15,0.467,25,43,0.581,12,27,39,29,8,5,13,19,34,76,0.447,9,22,0.409,12,14,0.857,9,26,35,19,7,1,16,36
42003,Detroit Pistons,Indiana Pacers,0040300303,2004-05-26,W,6.0,30,68,0.441,1,10,0.1,24,32,0.75,7,31,38,19,5,7,17,25,25,72,0.347,5,19,0.263,23,27,0.852,10,27,37,12,10,4,13,31
42003,Minnesota Timberwolves,Sacramento Kings,0040300225,2004-05-14,W,12.0,30,72,0.417,4,14,0.286,22,29,0.759,11,37,48,21,7,4,15,21,27,81,0.333,4,17,0.235,16,17,0.941,9,32,41,19,9,1,14,25
42003,New Jersey Nets,Detroit Pistons,0040300213,2004-05-09,W,18.0,29,70,0.414,4,15,0.267,20,26,0.769,11,37,48,22,11,7,15,30,22,76,0.289,0,10,0.0,20,26,0.769,19,26,45,10,6,7,18,25
42003,Denver Nuggets,Minnesota Timberwolves,0040300144,2004-04-27,L,-2.0,33,92,0.359,7,13,0.538,9,15,0.6,20,31,51,18,8,1,14,24,30,66,0.455,3,7,0.429,21,30,0.7,5,35,40,15,9,7,17,22
42003,Detroit Pistons,New Jersey Nets,0040300211,2004-05-03,W,22.0,30,63,0.476,4,12,0.333,14,21,0.667,5,43,48,21,7,7,16,22,19,70,0.271,5,18,0.278,13,21,0.619,7,22,29,12,7,4,12,23
42003,Minnesota Timberwolves,Denver Nuggets,0040300142,2004-04-21,W,14.0,37,79,0.468,8,15,0.533,13,16,0.813,9,29,38,25,5,4,12,25,31,76,0.408,2,8,0.25,17,23,0.739,9,29,38,14,9,1,13,21
42003,Detroit Pistons,New Jersey Nets,0040300212,2004-05-07,W,15.0,34,78,0.436,6,13,0.462,21,24,0.875,13,27,40,21,9,8,12,22,31,72,0.431,3,15,0.2,15,23,0.652,15,27,42,18,4,5,20,25
42003,Detroit Pistons,Milwaukee Bucks,0040300125,2004-04-29,W,14.0,38,83,0.458,3,14,0.214,12,20,0.6,18,34,52,27,9,5,14,16,31,78,0.397,2,9,0.222,13,16,0.813,11,25,36,19,8,3,14,20
42003,New Jersey Nets,Detroit Pistons,0040300216,2004-05-16,L,-6.0,27,68,0.397,2,14,0.143,19,26,0.731,9,22,31,19,14,4,14,23,32,73,0.438,5,12,0.417,12,22,0.545,15,31,46,16,8,9,18,23
42003,Detroit Pistons,New Jersey Nets,0040300215,2004-05-14,L,-7.0,42,111,0.378,6,25,0.24,30,42,0.714,19,34,53,28,16,8,15,41,37,86,0.43,11,24,0.458,42,55,0.764,12,44,56,24,8,9,22,42
42003,Houston Rockets,Los Angeles Lakers,0040300153,2004-04-23,W,11.0,37,77,0.481,9,16,0.563,19,27,0.704,10,39,49,21,1,2,11,18,36,83,0.434,5,14,0.357,14,24,0.583,12,30,42,23,9,4,5,21
42003,Dallas Mavericks,Sacramento Kings,0040300173,2004-04-24,W,25.0,40,100,0.4,3,10,0.3,21,28,0.75,23,33,56,20,19,4,15,27,28,75,0.373,2,12,0.167,21,31,0.677,11,35,46,11,11,4,26,22
42003,Minnesota Timberwolves,Los Angeles Lakers,0040300311,2004-05-21,L,-9.0,34,69,0.493,6,16,0.375,14,15,0.933,3,32,35,18,4,3,15,21,37,78,0.474,6,15,0.4,17,23,0.739,7,31,38,29,7,4,8,16
42003,Los Angeles Lakers,Minnesota Timberwolves,0040300316,2004-05-31,W,6.0,35,78,0.449,9,21,0.429,17,36,0.472,14,24,38,31,8,5,10,26,32,74,0.432,2,9,0.222,24,26,0.923,12,36,48,17,4,5,18,31
42003,Indiana Pacers,Miami Heat,0040300201,2004-05-06,W,13.0,30,69,0.435,9,18,0.5,25,32,0.781,9,30,39,19,6,7,13,20,32,84,0.381,3,13,0.231,14,18,0.778,16,31,47,17,4,2,13,26
42003,Detroit Pistons,Indiana Pacers,0040300304,2004-05-28,L,-15.0,24,78,0.308,5,19,0.263,15,23,0.652,19,30,49,13,4,4,12,21,32,70,0.457,8,16,0.5,11,14,0.786,5,36,41,15,6,6,11,27
42003,Los Angeles Lakers,Detroit Pistons,0040300402,2004-06-08,W,8.0,38,80,0.475,6,17,0.353,17,25,0.68,9,29,38,28,7,3,14,27,32,81,0.395,6,12,0.5,21,31,0.677,19,27,46,19,6,6,14,23
42003,Indiana Pacers,Miami Heat,0040300205,2004-05-15,W,11.0,36,70,0.514,5,12,0.417,17,24,0.708,13,34,47,27,8,3,16,21,30,69,0.435,4,10,0.4,19,23,0.826,7,23,30,20,9,3,13,21
42003,Miami Heat,New Orleans Hornets,0040300137,2004-05-04,W,8.0,34,83,0.41,2,11,0.182,15,23,0.652,11,33,44,17,13,5,6,23,29,72,0.403,8,20,0.4,11,14,0.786,6,34,40,18,2,3,20,20
42003,Minnesota Timberwolves,Los Angeles Lakers,0040300312,2004-05-23,W,18.0,33,74,0.446,7,21,0.333,16,19,0.842,10,31,41,25,7,6,8,25,25,68,0.368,6,18,0.333,15,29,0.517,14,31,45,14,3,3,11,17
42003,New York Knicks,New Jersey Nets,0040300114,2004-04-25,L,-6.0,33,79,0.418,6,21,0.286,22,30,0.733,9,28,37,22,9,4,11,33,34,73,0.466,1,9,0.111,31,41,0.756,10,33,43,16,6,3,14,21
42003,New Orleans Hornets,Miami Heat,0040300134,2004-04-27,W,11.0,35,70,0.5,7,17,0.412,19,22,0.864,8,29,37,27,4,4,12,18,32,79,0.405,5,22,0.227,16,18,0.889,12,23,35,21,7,2,12,24
42003,Los Angeles Lakers,Houston Rockets,0040300151,2004-04-17,W,1.0,25,76,0.329,6,15,0.4,16,28,0.571,13,28,41,21,11,4,15,20,29,76,0.382,2,12,0.167,11,16,0.688,12,39,51,13,8,5,20,22
42003,Sacramento Kings,Minnesota Timberwolves,0040300224,2004-05-12,W,6.0,32,76,0.421,1,9,0.111,22,25,0.88,7,26,33,19,8,3,12,16,29,72,0.403,5,16,0.313,18,20,0.9,14,32,46,18,6,3,22,23
42003,Sacramento Kings,Dallas Mavericks,0040300175,2004-04-29,W,1.0,48,91,0.527,11,20,0.55,12,15,0.8,6,30,36,29,12,4,13,15,46,100,0.46,8,16,0.5,18,18,1.0,16,33,49,23,6,7,16,16
42003,Minnesota Timberwolves,Denver Nuggets,0040300141,2004-04-18,W,14.0,40,87,0.46,6,12,0.5,20,28,0.714,18,30,48,18,5,6,14,18,37,85,0.435,3,17,0.176,15,20,0.75,10,25,35,23,6,6,12,26
42003,Sacramento Kings,Minnesota Timberwolves,0040300226,2004-05-16,W,17.0,39,78,0.5,9,16,0.563,17,24,0.708,11,28,39,28,11,2,13,22,33,81,0.407,9,16,0.563,12,16,0.75,11,22,33,11,10,4,15,23
42003,Detroit Pistons,Los Angeles Lakers,0040300405,2004-06-15,W,13.0,35,76,0.461,2,14,0.143,28,39,0.718,20,30,50,18,8,2,12,27,31,75,0.413,4,16,0.25,21,33,0.636,14,22,36,18,10,2,11,27
42003,Milwaukee Bucks,Detroit Pistons,0040300124,2004-04-26,L,-17.0,37,82,0.451,6,14,0.429,12,18,0.667,15,23,38,23,10,2,16,14,41,72,0.569,7,15,0.467,20,21,0.952,6,27,33,31,11,10,12,18
42003,Sacramento Kings,Minnesota Timberwolves,0040300223,2004-05-10,L,-1.0,40,91,0.44,8,23,0.348,25,32,0.781,15,38,53,27,5,4,18,24,43,93,0.462,6,18,0.333,22,29,0.759,8,35,43,23,10,9,8,29
42003,Sacramento Kings,Dallas Mavericks,0040300171,2004-04-18,W,11.0,44,83,0.53,11,21,0.524,17,24,0.708,9,32,41,28,10,5,11,21,41,91,0.451,8,21,0.381,15,19,0.789,17,27,44,25,9,11,13,19
42003,Memphis Grizzlies,San Antonio Spurs,0040300163,2004-04-22,L,-2.0,38,78,0.487,5,14,0.357,12,19,0.632,10,21,31,16,9,3,7,27,34,72,0.472,8,18,0.444,19,30,0.633,21,27,48,19,4,5,15,17
42003,New Jersey Nets,New York Knicks,0040300112,2004-04-20,W,18.0,38,71,0.535,7,18,0.389,16,24,0.667,7,37,44,28,12,8,23,20,30,88,0.341,4,16,0.25,17,21,0.81,18,24,42,20,13,4,18,24
42003,Milwaukee Bucks,Detroit Pistons,0040300123,2004-04-24,L,-10.0,30,81,0.37,6,21,0.286,19,26,0.731,7,29,36,22,9,6,7,28,33,72,0.458,5,12,0.417,24,33,0.727,9,43,52,14,4,10,18,24
42003,Los Angeles Lakers,San Antonio Spurs,0040300234,2004-05-11,W,8.0,36,72,0.5,2,6,0.333,24,32,0.75,6,31,37,21,7,5,6,21,32,79,0.405,8,17,0.471,18,22,0.818,12,29,41,26,4,3,13,24
42003,Miami Heat,New Orleans Hornets,0040300135,2004-04-30,W,4.0,31,70,0.443,6,14,0.429,19,31,0.613,7,28,35,16,8,4,13,24,28,79,0.354,7,24,0.292,20,27,0.741,20,28,48,18,5,3,18,19
42003,Los Angeles Lakers,San Antonio Spurs,0040300236,2004-05-15,W,12.0,29,65,0.446,6,17,0.353,24,41,0.585,8,31,39,19,7,5,11,23,26,86,0.302,3,24,0.125,21,26,0.808,21,28,49,14,6,3,14,29
42003,Detroit Pistons,Los Angeles Lakers,0040300404,2004-06-13,W,8.0,29,68,0.426,2,13,0.154,28,41,0.683,9,36,45,16,5,4,12,20,33,78,0.423,3,16,0.188,11,22,0.5,9,29,38,23,4,1,10,35
42003,Minnesota Timberwolves,Sacramento Kings,0040300222,2004-05-08,W,5.0,34,77,0.442,6,13,0.462,20,28,0.714,6,39,45,21,4,10,11,22,32,87,0.368,3,11,0.273,22,27,0.815,6,34,40,25,8,4,7,20
42003,San Antonio Spurs,Memphis Grizzlies,0040300161,2004-04-17,W,24.0,41,76,0.539,6,13,0.462,10,13,0.769,7,29,36,26,9,8,18,21,23,66,0.348,4,13,0.308,24,28,0.857,12,26,38,10,12,6,20,20
