Team,Odds,Probability
Los Angeles Lakers,+180,0.3571
Portland Trail Blazers,+600,0.1429
San Antonio Spurs,+600,0.1429
New York Knicks,+700,0.125
Orlando Magic,+800,0.1111
Indiana Pacers,+1000,0.0909
Phoenix Suns,+1500,0.0625
Utah Jazz,+1500,0.0625
Minnesota Timberwolves,+1500,0.0625
Charlotte Hornets,+1800,0.0526
Miami Heat,+1800,0.0526
Philadelphia 76ers,+1800,0.0526
Milwaukee Bucks,+2200,0.0435
Sacramento Kings,+3500,0.0278
Seattle SuperSonics,+3500,0.0278
Toronto Raptors,+3500,0.0278
Detroit Pistons,+6000,0.0164
New Jersey Nets,+7500,0.0132
Chicago Bulls,+7500,0.0132
Dallas Mavericks,+7500,0.0132
Houston Rockets,+7500,0.0132
Cleveland Cavaliers,+10000,0.0099
Denver Nuggets,+10000,0.0099
Boston Celtics,+10000,0.0099
Atlanta Hawks,+15000,0.0066
Washington Wizards,+20000,0.005
Golden State Warriors,+35000,0.0028
Los Angeles Clippers,+35000,0.0028
Vancouver Grizzlies,+35000,0.0028
