Team,Odds,W-L O/U,Result,Probability
Los Angeles Lakers,+225,62.0,57-25 (under),0.3077
Cleveland Cavaliers,+300,61.5,61-21 (under),0.25
Boston Celtics,+450,56.5,50-32 (under),0.1818
San Antonio Spurs,+1000,54.5,50-32 (under),0.0909
Orlando Magic,+1000,57.5,59-23 (over),0.0909
Denver Nuggets,+1500,52.5,53-29 (over),0.0625
Portland Trail Blazers,+2000,52.5,50-32 (under),0.0476
Utah Jazz,+2500,49.5,53-29 (over),0.0385
Dallas Mavericks,+2500,48.5,55-27 (over),0.0385
Detroit Pistons,+3300,41.5,27-55 (under),0.0294
Miami Heat,+4000,40.0,47-35 (over),0.0244
Houston Rockets,+4000,35.5,42-40 (over),0.0244
Atlanta Hawks,+5000,44.5,53-29 (over),0.0196
New Orleans Hornets,+5000,46.5,37-45 (under),0.0196
Chicago Bulls,+5000,40.5,41-41 (over),0.0196
Philadelphia 76ers,+6600,40.5,27-55 (under),0.0149
New York Knicks,+6600,31.5,29-53 (under),0.0149
Phoenix Suns,+6600,40.5,54-28 (over),0.0149
Toronto Raptors,+6600,40.5,40-42 (under),0.0149
Washington Wizards,+8000,41.5,26-56 (under),0.0123
Indiana Pacers,+10000,34.5,32-50 (under),0.0099
Charlotte Bobcats,+12500,36.5,44-38 (over),0.0079
Golden State Warriors,+12500,34.5,26-56 (under),0.0079
Oklahoma City Thunder,+12500,33.5,50-32 (over),0.0079
New Jersey Nets,+12500,27.5,12-70 (under),0.0079
Los Angeles Clippers,+15000,34.5,29-53 (under),0.0066
Memphis Grizzlies,+15000,27.5,40-42 (over),0.0066
Minnesota Timberwolves,+20000,26.5,15-67 (under),0.005
Milwaukee Bucks,+20000,26.5,46-36 (over),0.005
Sacramento Kings,+25000,24.5,25-57 (over),0.004
