HOME_TEAM_NAME,AWAY_TEAM_NAME,GAME_DATE,HPO,APO,HGLW,AGLW,HLGR,ALGR,HLH2HR,ALH2HR,HTFR,ATFR,HSWR,ASWR,HSPS,ASPS,HSPL,ASPL
Minnesota Timberwolves,Phoenix Suns,2019-11-23,0.002,0.002,3,3,0.4,0.5,0.7,0.3,0.3,0.3,0.5329999999999999,0.5,114.5,115.4,116.3,111.4
Charlotte Hornets,Chicago Bulls,2019-11-23,0.0005,0.0023,4,4,0.3,0.3,0.4,0.6,0.5,0.3,0.375,0.313,105.8,107.4,113.6,110.2
Indiana Pacers,Orlando Magic,2019-11-23,0.0196,0.005,2,2,0.7,0.4,0.7,0.3,0.5,0.3,0.5710000000000001,0.429,107.4,101.9,103.1,102.4
Philadelphia 76ers,Miami Heat,2019-11-23,0.1143,0.0164,3,3,0.5,0.8,0.6,0.4,0.9,0.5,0.667,0.7859999999999999,110.1,112.4,106.3,104.0
New York Knicks,San Antonio Spurs,2019-11-23,0.001,0.0164,3,4,0.3,0.1,0.3,0.7,0.5,0.1,0.267,0.313,101.9,112.9,108.9,116.1
Atlanta Hawks,Toronto Raptors,2019-11-23,0.004,0.0179,4,3,0.2,0.7,0.2,0.8,0.4,0.6,0.267,0.7140000000000001,107.3,113.3,117.6,105.4
Cleveland Cavaliers,Portland Trail Blazers,2019-11-23,0.0007,0.0278,4,4,0.2,0.2,0.4,0.6,0.2,0.3,0.267,0.313,103.9,113.0,112.1,116.7
Memphis Grizzlies,Los Angeles Lakers,2019-11-23,0.001,0.1818,2,3,0.4,0.9,0.4,0.6,0.4,0.7,0.35700000000000004,0.867,109.0,112.1,118.4,102.8
Milwaukee Bucks,Detroit Pistons,2019-11-23,0.1538,0.004,4,2,0.9,0.3,0.9,0.1,0.8,0.1,0.8,0.33299999999999996,120.8,108.7,111.5,111.4
Utah Jazz,New Orleans Pelicans,2019-11-23,0.0714,0.0079,3,4,0.6,0.5,0.8,0.2,0.8,0.3,0.667,0.4,104.9,116.2,101.2,119.0
